Age,Airbag Grouped_Airbag Equipped - Not Activated,Airbag Grouped_Not Airbag Equipped,Eject Desc_Partially Ejected,Eject Desc_Totally Ejected,Seatbelt Grouped_No Restraints Used,Seatbelt Grouped_Seatbelt Used,Time Group_Off-Peak,Time Group_Peak Hours,severity_numeric
61,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
28,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
37,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
39,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
76,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
62,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
63,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
27,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
32,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1
69,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
19,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
43,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
56,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
41,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
40,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
20,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
73,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
51,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
28,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
31,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1
40,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
16,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1
